id;user_id;code;short_code;mark
1;96563;cross-platform access;Public-key;infomediaries
2;12203;Buckinghamshire Games;incentivize Tuna copy;Costa Rica Mayotte
3;18485;Facilitator;Views e-enable Communications;National Awesome sky blue
4;4522;software scale interactive;Louisiana Specialist Home Loan Account;Plastic
5;80219;Small;deliverables reinvent 24 hour;overriding
6;70685;application quantify Unbranded Plastic Tuna;Internal;Investment Account archive Fantastic Plastic Chicken
7;32518;pixel withdrawal;Mississippi embrace Developer;synthesize Idaho compress
8;49379;Poland;Small partnerships;Outdoors
9;63641;knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;User-centric
10;7697;neutral Salad;Auto Loan Account modular Refined;digital maroon
